snr,realization,L_true,epsilon_true,MEWT_true,L_retrieved,epsilon_retrieved,MEWT_retrieved
inf,0,0.025,0.7,0.0174999999999999,0.02505683567727051,0.7027029920234659,0.017607513401058313
inf,0,0.05,0.7,0.0349999999999999,0.05022103629275966,0.7003095338188817,0.03517027051408366
inf,0,0.075,0.7,0.0525,0.07723519464978175,0.6975522531200227,0.05387558404811878
inf,0,0.1,0.7,0.0699999999999999,0.10569294743172493,0.6971776788968432,0.07368676376621605
inf,0,0.125,0.7,0.0875,0.13326837100056524,0.6989741827856374,0.09315115071129322
inf,0,0.15,0.7,0.105,0.1593628122515406,0.7009863713636156,0.11171115949050858
inf,0,0.175,0.7,0.1224999999999999,0.18449502299760406,0.7025920645675316,0.12962473911032088
inf,0,0.2,0.7,0.1399999999999999,0.19999999999999948,0.7081514469548958,0.1416302893909788
inf,0,0.175,0.8,0.1399999999999999,0.18238522800356893,0.8008849297478955,0.1460695805166922
inf,0,0.2,0.8,0.16,0.199999999999988,0.8036849084076776,0.16073698168152586
600.0,0,0.0,0.0,0.0,0.0010000446360349281,0.001003077841593552,1.003122615011125e-06
600.0,0,0.025,0.1,0.0025,0.038310414775878376,0.08308986136644679,0.003183207052618809
600.0,0,0.025,0.2,0.005,0.02412577617426346,0.2029859838985814,0.004897194414049822
600.0,0,0.05,0.2,0.01,0.11224505667416655,0.1651093891433664,0.01853271274183418
600.0,0,0.025,0.3,0.0075,0.02284518155880888,0.27448259139708486,0.006270604635198756
600.0,0,0.05,0.3,0.015,0.06770777601461486,0.27440700593422174,0.018579488094635378
600.0,0,0.075,0.3,0.0225,0.08916133604532897,0.2838879044702069,0.025311824849672367
600.0,0,0.1,0.3,0.03,0.13303682817364543,0.2956829177334139,0.03933671752038232
600.0,0,0.025,0.4,0.01,0.026037166624346297,0.4047573627250203,0.010538734895702326
600.0,0,0.05,0.4,0.02,0.05574045160633404,0.3865354185928951,0.02154565879421134
600.0,0,0.075,0.4,0.03,0.0777013216740251,0.40995569438414653,0.031854099281440895
600.0,0,0.1,0.4,0.04,0.11072828266914146,0.39490007711133945,0.04372660736445016
600.0,0,0.025,0.5,0.0125,0.02321299592268399,0.5055036829799331,0.011734254931914927
600.0,0,0.05,0.5,0.025,0.05255951327298835,0.4991301863296165,0.026234039653340625
600.0,0,0.075,0.5,0.0375,0.08015620952204368,0.4906012668997439,0.039324737941395946
600.0,0,0.1,0.5,0.05,0.11420905241023419,0.4955147110945179,0.056592265609435845
600.0,0,0.125,0.5,0.0625,0.14983123196125048,0.47918049829493564,0.07179620439133609
600.0,0,0.15,0.5,0.075,0.16499343275719097,0.49350726468815276,0.08142545769150998
600.0,0,0.175,0.5,0.0875,0.18692460113807638,0.5125893885850135,0.09581556700886408
600.0,0,0.2,0.5,0.1,0.1999999999999999,0.5148538187764482,0.10297076375528959
600.0,0,0.025,0.6,0.015,0.025003369291409033,0.6043444167649441,0.015110646631575107
600.0,0,0.05,0.6,0.03,0.04942827186105217,0.5895371782807346,0.02913980392025773
600.0,0,0.075,0.6,0.045,0.08107653324744081,0.5993856072966579,0.048596107118024985
600.0,0,0.1,0.6,0.06,0.10797367239859015,0.5981805772760969,0.06458775368600882
600.0,0,0.125,0.6,0.075,0.1365026137035017,0.5901527685545039,0.0805573953920475
600.0,0,0.15,0.6,0.09,0.1598612025236887,0.6095097903782345,0.097436968039826
600.0,0,0.175,0.6,0.105,0.18592084049436733,0.6141840846705804,0.11418962124021798
600.0,0,0.2,0.6,0.12,0.19999999999999998,0.616721658946191,0.12334433178923819
600.0,0,0.025,0.7,0.0174999999999999,0.025123444811593135,0.7033606272949556,0.017670841902492344
600.0,0,0.05,0.7,0.0349999999999999,0.05101358415885784,0.7049058469716595,0.035959773748559715
600.0,0,0.075,0.7,0.0525,0.07297874044053652,0.7026245997231098,0.051276658290328694
